field_id,year,crop_code,crop_name,dominant_pct
FIELD_0001,2020,122,Developed/Low Intensity,47.4
FIELD_0006,2020,1,Corn,46.5
FIELD_0008,2020,5,Soybeans,63.0
FIELD_0016,2020,1,Corn,45.9
FIELD_0017,2020,5,Soybeans,31.0
FIELD_0001,2021,122,Developed/Low Intensity,52.0
FIELD_0006,2021,5,Soybeans,50.8
FIELD_0008,2021,1,Corn,63.1
FIELD_0016,2021,1,Corn,44.1
FIELD_0017,2021,1,Corn,31.5
FIELD_0001,2022,122,Developed/Low Intensity,52.0
FIELD_0006,2022,1,Corn,49.7
FIELD_0008,2022,5,Soybeans,65.1
FIELD_0016,2022,5,Soybeans,42.2
FIELD_0017,2022,5,Soybeans,29.1
FIELD_0001,2023,122,Developed/Low Intensity,52.0
FIELD_0006,2023,5,Soybeans,47.2
FIELD_0008,2023,1,Corn,68.9
FIELD_0016,2023,1,Corn,53.9
FIELD_0017,2023,1,Corn,29.3
